rgn_id,species_latin,species_common,CHN_class,IUCN_class,value
HN,Acropora pulchra ,Acropora pulchra,,EN,0.6
HN,Acropora robusta ,Acropora robusta,,EN,0.6
HN,Montipora digitata,Montipora digitata,,EN,0.6
HN,Montipora foliosa,Montipora foliosa,,EN,0.6
HN,Montipora gaimardi ,Montipora gaimardi Bernard,,EN,0.6
HN,Montipora stellata,Montipora stellata Bernard,,EN,0.6
HN,Pavona decussata ,Pavona decussata,,EN,0.6
HN,Pavona frondifera Lamarck,Pavona frondifera Lamarck,,EN,0.6
HN,Fungia fungites ,Fungia fungites,,EN,0.6
HN,Fungia paumotensis Stutchbury,Fungia paumotensis Stutchbury,,EN,0.6
HN,Podabacia crustacea ,Podabacia crustacea,,EN,0.6
HN,Merulina scabricula ,Merulina scabricula Dana,,EN,0.6
HN,Scapophyllia cylindrica ,Scapophyllia cylindrica,,EN,0.6
HN,Acanthastrea echinata ,Acanthastrea echinata,,EN,0.6
HN,Lobophyllia corymbosa ,Lobophyllia corymbosa,,EN,0.6
HN,Echinophyllia aspera ,Echinophyllia aspera,,EN,0.6
HN,Pectinia lactuca,Pectinia lactuca,,EN,0.6
HN,Pocillopora verrucosa,Pocillopora verrucosa,,EN,0.6
HN,Psammocora contigua ,Psammocora contigua,,EN,0.6
HN,Haliotis asinina Linnaeus,Haliotis asinina Linnaeus,,EN,0.6
HN,Haliotis ovina Gmelin,Haliotis ovina Gmelin,,EN,0.6
HN,Haliotis varia Linnaeus,Haliotis varia Linnaeus,,EN,0.6
HN,Cypraea carneola ,Cypraea carneola Linnaeus,,EN,0.6
HN,Ovula ovum ,Ovula ovum Linnaeus,,EN,0.6
HN,Lambis chiragra ,Lambis chiragra ,,EN,0.6
HN,Lambis lambis ,Lambis lambis ,,EN,0.6
HN,Oliva mustelina concavospira Sowerby,Oliva mustelina concavospira Sowerby,,EN,0.6
HN,Atrina vexillum ,Atrina vexillum,,EN,0.6
HN,Tridacna maxima ,Tridacna maxima,,EN,0.6
HN,Tridacna squamosa ,Tridacna squamosa Lamarck,,EN,0.6
HN,Tridacna crocea ,Tridacna crocea Lamarck,,EN,0.6
HN,Coelomactra cumingii ,Coelomactra cumingii,,EN,0.6
HN,Fenneropenaeus merguiensis,Fenneropenaeus merguiensis,,EN,0.6
HN,Fenneropenaeus penicillatus ,Fenneropenaeus penicillatus,,EN,0.6
HN,Metapenaeus joyneri,Metapenaeus joyneri,,EN,0.6
HN,Panulirus stimposoni Holthuis,Panulirus stimposoni Holthuis,,EN,0.6
HN,Lauridromia indica,Lauridromia indica,,EN,0.6
HN,Stimdromia longipedalis ,Stimdromia longipedalis,,EN,0.6
HN,Cryptodromia protuberum ,Cryptodromia protuberum Dai & Song,,EN,0.6
HN,Heteronucia elegans Chen & Turkay,Heteronucia elegans Chen & Turkay,,EN,0.6
HN,Heteronucia tuberculata Chen & Turkay ,Heteronucia tuberculata Chen & Turkay ,,EN,0.6
HN,Heteronucia xincunensis Chen & Turkay,Heteronucia xincunensis Chen & Turkay,,EN,0.6
